Data Series,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Bangladesh,985.7,903.9,674.8,581.6,642.4,664,547.7,482.6,424.3,384.3,347.5,349.1,333.5,272.6,209.3,264.8,284,285.5,274.6,188.9,157,118.3,121.8,89.7
Brunei Darussalam,960.1,891.2,579,533.4,556.4,495.9,463.9,420.5,465.4,520.4,474.4,464.1,468.5,508.1,324.4,272.6,248.3,120.6,123.3,138.6,151.4,144.3,97.8,100.5
Cambodia,475.6,389.5,256,250.3,259.1,290.4,226.8,196.1,114.3,86.3,89.2,115,109.2,78.4,99.3,139.7,88.1,110.8,77.1,68.7,45.3,37.9,29.8,18.4
Hong Kong,"21,686.1","21,307.3","18,126.2","15,063.2","11,273.2","10,466.3","8,239.5","7,351.8","7,260","5,841.4","5,184.6","5,156.3","5,104.8","4,928.8","4,344.5","4,676.6","4,429.7","3,555.3","2,790.5","2,313.7","2,059.7","1,912","1,866.5","1,860.6"
India,"9,909.4","9,730.1","7,817","6,337.6","6,383.4","5,957.8","5,326.3","4,422.4","4,236.4","4,276","4,857.4","4,375","4,244.7","4,089.3","3,712.2","3,502.5","3,191.3","2,448.5","2,084.6","1,742.1","1,241.4",907.6,735.4,746.8
Indonesia,"8,542.6","8,366.6","6,222.5","5,351.4","6,781.8","5,895.2","5,615.7","5,088.6","5,032","4,837.1","4,535.8","4,062.7","3,537.8","3,291.1","3,642.6","3,321.9","3,026","2,969.8","2,364.4","2,231.8","1,767.5","1,801.4","1,707.5","1,607.9"
Israel,819.6,587.4,500.2,354.7,257.1,243.1,254.6,231.3,175.7,159.2,155.1,146.4,132,114.2,89.2,93.3,136.5,102.8,90.4,87.6,63,51.5,24.6,28.9
Japan,"43,227.6","42,043","37,033.4","29,879.7","27,964.3","24,423.4","19,316.8","14,737.9","13,925.6","11,259.2","9,310.7","8,251.8","7,539.2","6,650.2","5,505.6","7,332.4","7,616.3","6,959.5","5,803.5","5,596.5","3,577.2","3,235.7","3,093.4","3,255.6"
Kuwait,339.7,280,196.2,167.3,229.1,174.2,148.6,270.9,237.2,192.6,213.1,182.6,114.6,142.9,108.5,122.1,67.1,77,38.8,28.3,10.5,10.1,8.7,10
Mainland China,"29,170.4","32,831.1","29,683.1","21,218.6","22,616.7","23,002","17,909.2","10,778.7","11,893.8","10,923.6","9,198.9","7,484.2","6,961","7,520.7","5,381.2","5,839.2","4,987.8","3,365.9","2,939.5","2,701","1,908.2","1,261.5","1,238.1","1,042.4"
Malaysia,"9,843.6","10,890.8","9,238.7","7,920.2","7,814.4","7,463.2","6,247.3","5,789.8","5,390.1","5,020.2","4,576.2","4,348.8","3,942.6","3,623.7","3,993.3","3,881.4","3,440.2","2,644.2","2,332.2","2,071.5","1,689.7","1,736.7","1,628.9","1,526.6"
Myanmar,580.9,522.2,494.9,524.7,461.8,468.8,418.6,519.2,428.2,377.2,371.3,225.7,218.3,181.4,198.7,222.8,203.3,127.8,86,65.1,48.6,44.3,41.1,44.1
Pakistan,455.9,508.9,443.6,303.4,328.6,332.6,319.3,236.5,205.2,228,218.9,192.3,222.8,245.1,190.9,291.9,236.2,246.9,256.4,191.6,120.5,58,61.5,72.8
Philippines,"4,988","4,581.1","3,537.9","2,986.7","2,956.3","2,570.8","2,044.8","1,839.8","1,801.9","1,628.9","1,387.9","1,247.7","1,232.5","1,118.8",949.2,"1,005.1",903.9,789.5,704.3,703.2,573.6,479.1,488.7,490
Qatar,797.6,742,580.8,473.6,533.4,438.3,205.5,263.3,277.8,221.2,200.5,229.6,273.9,328.5,232.6,177.1,147.9,166.2,90.4,na,108.7,1.4,3.2,2.8
Republic Of Korea,"7,386","6,961.5","5,205.9","4,250.8","4,631.8","4,205.2","3,331.2","2,933.7","3,138.6","3,380.1","2,840","2,731","2,551.5","2,380.7","2,164.7","2,723","2,601.8","1,890","1,702","1,665","1,229.6","1,288.8",897.2,853.2
